 "s" , "p" , "o" ,  ,  ,  ,
 "EX:Japan" , "rdf:type" , "EX:Place" ,  ,  ,  ,
 "EX:reason" , "rdf:type" , "rdf:Property" ,  ,  ,  ,
 "EX:impactOn" , "rdf:type" , "rdf:Property" ,  ,  ,  ,
 "EX:intensity" , "rdf:type" , "rdf:Property" ,  ,  ,  ,
 "node9" , "rdf:type" , "rdfs:Container" ,  ,  ,  ,
 "node9" , "rdf:type" , "rdf:Bag" ,  ,  ,  ,
 "node10" , "rdf:type" , "rdfs:Container" ,  ,  ,  ,
 "node10" , "rdf:type" , "rdf:Bag" ,  ,  ,  ,
 "rdf:type" , "rdfs:subPropertyOf" , "rdf:type" ,  ,  ,  ,
 "rdfs:subPropertyOf" , "rdfs:subPropertyOf" , "rdfs:subPropertyOf" ,  ,  ,  ,
 "rdfs:subClassOf" , "rdfs:subPropertyOf" , "rdfs:subClassOf" ,  ,  ,  ,
 "rdfs:domain" , "rdfs:subPropertyOf" , "rdfs:domain" ,  ,  ,  ,
 "rdfs:range" , "rdfs:subPropertyOf" , "rdfs:range" ,  ,  ,  ,
 "owl:equivalentProperty" , "rdfs:subPropertyOf" , "rdfs:subPropertyOf" ,  ,  ,  ,
 "owl:equivalentClass" , "rdfs:subPropertyOf" , "rdfs:subClassOf" ,  ,  ,  ,
 "http://proton.semanticweb.org/protonsys#transitiveOver" , "rdfs:subPropertyOf" , "http://proton.semanticweb.org/protonsys#transitiveOver" ,  ,  ,  ,
 "owl:inverseOf" , "rdfs:subPropertyOf" , "owl:inverseOf" ,  ,  ,  ,
 "rdf:first" , "rdfs:subPropertyOf" , "rdf:first" ,  ,  ,  ,
 "rdf:rest" , "rdfs:subPropertyOf" , "rdf:rest" ,  ,  ,  ,
 "rdfs:isDefinedBy" , "rdfs:subPropertyOf" , "rdfs:seeAlso" ,  ,  ,  ,
 "rdf:_1" , "rdfs:subPropertyOf" , "rdf:_1" ,  ,  ,  ,
 "EX:alternateName" , "rdfs:subPropertyOf" , "EX:alternateName" ,  ,  ,  ,
 "EX:alternateName" , "rdfs:subPropertyOf" , "EX:alternates" ,  ,  ,  ,
 "EX:alternates" , "rdfs:subPropertyOf" , "EX:alternates" ,  ,  ,  ,
 "EX:alternateSpelling" , "rdfs:subPropertyOf" , "EX:alternates" ,  ,  ,  ,
 "EX:alternateSpelling" , "rdfs:subPropertyOf" , "EX:alternateSpelling" ,  ,  ,  ,
 "EX:bodyStyleProduced" , "rdfs:subPropertyOf" , "EX:bodyStyleProduced" ,  ,  ,  ,
 "EX:bodyStyleProduced" , "rdfs:subPropertyOf" , "EX:production" ,  ,  ,  ,
 "EX:production" , "rdfs:subPropertyOf" , "EX:production" ,  ,  ,  ,
 "EX:business" , "rdfs:subPropertyOf" , "EX:business" ,  ,  ,  ,
 "EX:city" , "rdfs:subPropertyOf" , "EX:city" ,  ,  ,  ,
 "EX:country" , "rdfs:subPropertyOf" , "EX:country" ,  ,  ,  ,
 "EX:countryOfOrigin" , "rdfs:subPropertyOf" , "EX:countryOfOrigin" ,  ,  ,  ,
 "EX:currentFocusOn" , "rdfs:subPropertyOf" , "EX:currentFocusOn" ,  ,  ,  ,
 "EX:currentFocusOn" , "rdfs:subPropertyOf" , "EX:focusOn" ,  ,  ,  ,
 "EX:focusOn" , "rdfs:subPropertyOf" , "EX:focusOn" ,  ,  ,  ,
 "EX:firstName" , "rdfs:subPropertyOf" , "EX:firstName" ,  ,  ,  ,
 "EX:foundedBy" , "rdfs:subPropertyOf" , "EX:foundedBy" ,  ,  ,  ,
 "EX:fullName" , "rdfs:subPropertyOf" , "EX:fullName" ,  ,  ,  ,
 "EX:headquarters" , "rdfs:subPropertyOf" , "EX:headquarters" ,  ,  ,  ,
 "EX:historicalInformation" , "rdfs:subPropertyOf" , "EX:historicalInformation" ,  ,  ,  ,
 "EX:historicalInformation" , "rdfs:subPropertyOf" , "EX:information" ,  ,  ,  ,
 "EX:information" , "rdfs:subPropertyOf" , "EX:information" ,  ,  ,  ,
 "EX:incorporationDate" , "rdfs:subPropertyOf" , "EX:incorporationDate" ,  ,  ,  ,
 "EX:lastName" , "rdfs:subPropertyOf" , "EX:lastName" ,  ,  ,  ,
 "EX:longestRunningSeriesOfModels" , "rdfs:subPropertyOf" , "EX:longestRunningSeriesOfModels" ,  ,  ,  ,
 "EX:longestRunningSeriesOfModels" , "rdfs:subPropertyOf" , "EX:seriesOfModels" ,  ,  ,  ,
 "EX:seriesOfModels" , "rdfs:subPropertyOf" , "EX:seriesOfModels" ,  ,  ,  ,
 "EX:majorCompetitors" , "rdfs:subPropertyOf" , "EX:majorCompetitors" ,  ,  ,  ,
 "EX:majorCompetitors" , "rdfs:subPropertyOf" , "EX:competitors" ,  ,  ,  ,
 "EX:competitors" , "rdfs:subPropertyOf" , "EX:competitors" ,  ,  ,  ,
 "EX:manufactures" , "rdfs:subPropertyOf" , "EX:manufactures" ,  ,  ,  ,
 "EX:market" , "rdfs:subPropertyOf" , "EX:market" ,  ,  ,  ,
 "EX:modelName" , "rdfs:subPropertyOf" , "EX:modelName" ,  ,  ,  ,
 "EX:parentCompany" , "rdfs:subPropertyOf" , "EX:parentCompany" ,  ,  ,  ,
 "EX:prefecture" , "rdfs:subPropertyOf" , "EX:prefecture" ,  ,  ,  ,
 "EX:productionOf" , "rdfs:subPropertyOf" , "EX:productionOf" ,  ,  ,  ,
 "EX:sales" , "rdfs:subPropertyOf" , "EX:sales" ,  ,  ,  ,
 "EX:startYear" , "rdfs:subPropertyOf" , "EX:startYear" ,  ,  ,  ,
